[ 2025-04-13 15:58:00,760 ] 148 numexpr.utils - INFO - Note: NumExpr detected 12 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
[ 2025-04-13 15:58:00,760 ] 160 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[ 2025-04-13 15:58:02,828 ] 62 root - INFO - Initiate the Data Ingestion
[ 2025-04-13 15:58:16,817 ] 80 root - INFO - Performed Train Test Split on the DataFrame
[ 2025-04-13 15:58:16,817 ] 82 root - INFO - Exited split_data_as_train_test method from Data_Ingestion Class
[ 2025-04-13 15:58:16,818 ] 87 root - INFO - Exporting Train & Test file Path.
[ 2025-04-13 15:58:16,929 ] 97 root - INFO - Exported train and test file path.
[ 2025-04-13 15:58:16,935 ] 65 root - INFO - Data Ingestion Completed
[ 2025-04-13 15:58:16,940 ] 71 root - INFO - Initiate the Data Validation
[ 2025-04-13 15:58:17,023 ] 35 root - INFO - Required Number of Columns 2
[ 2025-04-13 15:58:17,023 ] 36 root - INFO - Data Frame has colums: 32
[ 2025-04-13 15:58:17,023 ] 35 root - INFO - Required Number of Columns 2
[ 2025-04-13 15:58:17,023 ] 36 root - INFO - Data Frame has colums: 32
[ 2025-04-13 15:58:17,317 ] 73 root - INFO - Data Validation Completed
[ 2025-04-13 15:58:17,317 ] 78 root - INFO - Initiate the Data Transformation
[ 2025-04-13 15:58:17,317 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-04-13 15:58:17,317 ] 65 root - INFO - Starting data transformation
