[ 2025-04-13 23:29:23,949 ] 99 root - INFO - Initiate the Data Ingestion
[ 2025-04-13 23:29:34,887 ] 80 root - INFO - Performed Train Test Split on the DataFrame
[ 2025-04-13 23:29:34,887 ] 82 root - INFO - Exited split_data_as_train_test method from Data_Ingestion Class
[ 2025-04-13 23:29:34,888 ] 87 root - INFO - Exporting Train & Test file Path.
[ 2025-04-13 23:29:35,051 ] 97 root - INFO - Exported train and test file path.
[ 2025-04-13 23:29:35,059 ] 102 root - INFO - Data Ingestion Completed
[ 2025-04-13 23:29:35,066 ] 108 root - INFO - Initiate the Data Validation
[ 2025-04-13 23:29:35,148 ] 35 root - INFO - Required Number of Columns 2
[ 2025-04-13 23:29:35,149 ] 36 root - INFO - Data Frame has colums: 32
[ 2025-04-13 23:29:35,150 ] 35 root - INFO - Required Number of Columns 2
[ 2025-04-13 23:29:35,150 ] 36 root - INFO - Data Frame has colums: 32
[ 2025-04-13 23:29:35,543 ] 115 root - INFO - Initiate the Data Transformation
[ 2025-04-13 23:29:35,543 ] 66 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-04-13 23:29:35,543 ] 68 root - INFO - Starting data transformation
[ 2025-04-13 23:29:35,641 ] 51 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-04-13 23:29:35,641 ] 56 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-04-13 23:29:35,658 ] 61 root - INFO - Entered the save_object method of MainUtils class
[ 2025-04-13 23:29:35,663 ] 65 root - INFO - Exited the save_object method of MainUtils class
[ 2025-04-13 23:29:35,664 ] 61 root - INFO - Entered the save_object method of MainUtils class
[ 2025-04-13 23:29:35,669 ] 65 root - INFO - Exited the save_object method of MainUtils class
[ 2025-04-13 23:29:35,671 ] 118 root - INFO - Data Transformation Completed
[ 2025-04-13 23:29:35,671 ] 121 root - INFO - Model Training Started
