[ 2025-04-13 16:54:16,598 ] 148 numexpr.utils - INFO - Note: NumExpr detected 12 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
[ 2025-04-13 16:54:16,599 ] 160 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[ 2025-04-13 16:54:18,634 ] 62 root - INFO - Initiate the Data Ingestion
[ 2025-04-13 16:54:29,886 ] 80 root - INFO - Performed Train Test Split on the DataFrame
[ 2025-04-13 16:54:29,886 ] 82 root - INFO - Exited split_data_as_train_test method from Data_Ingestion Class
[ 2025-04-13 16:54:29,887 ] 87 root - INFO - Exporting Train & Test file Path.
[ 2025-04-13 16:54:30,002 ] 97 root - INFO - Exported train and test file path.
[ 2025-04-13 16:54:30,008 ] 65 root - INFO - Data Ingestion Completed
[ 2025-04-13 16:54:30,013 ] 71 root - INFO - Initiate the Data Validation
[ 2025-04-13 16:54:30,091 ] 35 root - INFO - Required Number of Columns 2
[ 2025-04-13 16:54:30,092 ] 36 root - INFO - Data Frame has colums: 32
[ 2025-04-13 16:54:30,092 ] 35 root - INFO - Required Number of Columns 2
[ 2025-04-13 16:54:30,092 ] 36 root - INFO - Data Frame has colums: 32
[ 2025-04-13 16:54:30,352 ] 73 root - INFO - Data Validation Completed
[ 2025-04-13 16:54:30,352 ] 78 root - INFO - Initiate the Data Transformation
[ 2025-04-13 16:54:30,352 ] 59 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-04-13 16:54:30,352 ] 61 root - INFO - Starting data transformation
